MutationCoverage,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2866666667,0.4774774775,0.1428571429,0.1196581197,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,cli,randoop
