MutationCoverage,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.2373158756,0.3542857143,0.1333333333,0.06451612903,0.08333333333,0.2340425532,0.16,0.237315876,csv,evo
0.1571194763,0.2514285714,0.06666666667,0.06451612903,0.08333333333,0.134751773,0.14,0.281828074,csv,evo
0.317512275,0.4628571429,0.2333333333,0.06451612903,0.1666666667,0.329787234,0.14,0.402611534,csv,evo
0.3371522095,0.5085714286,0.1333333333,0.09677419355,0.08333333333,0.3475177305,0.16,0.373231774,csv,evo
0.2356792144,0.3542857143,0.1333333333,0.06451612903,0.08333333333,0.2304964539,0.16,0.340587595,csv,evo
0.2160392799,0.32,0.1333333333,0.08064516129,0.08333333333,0.1985815603,0.2,0.356909684,csv,evo
0.1571194763,0.2514285714,0.03333333333,0.06451612903,0.08333333333,0.1382978723,0.14,0.300326442,csv,evo
0.2798690671,0.4057142857,0.1,0.08064516129,0.08333333333,0.2907801418,0.18,0.329706202,csv,evo
0.265060241,0.3298429319,0.1428571429,0.1367521368,0.4,0.2961373391,0.07142857143,0.426349497,e-mail,evo
0.2685025818,0.3507853403,0.1428571429,0.1367521368,0.4,0.2875536481,0.07142857143,0.399817017,e-mail,evo
0.2082616179,0.2984293194,0.09523809524,0.07692307692,0.2,0.2188841202,0.07142857143,0.361390668,e-mail,evo
0.2616179002,0.3455497382,0.1428571429,0.1367521368,0.4,0.2746781116,0.07142857143,0.406221409,e-mail,evo
0.2788296041,0.3664921466,0.1904761905,0.1367521368,0.4,0.2961373391,0.07142857143,0.417200366,e-mail,evo
0.2495697074,0.3298429319,0.1904761905,0.08547008547,0.4,0.2789699571,0.07142857143,0.406221409,e-mail,evo
0.1686746988,0.2251308901,0.04761904762,0.08547008547,0.2,0.1802575107,0.07142857143,0.332113449,e-mail,evo
0.2358003442,0.3298429319,0.09523809524,0.09401709402,0.2,0.2532188841,0.07142857143,0.397987191,e-mail,evo
0.2289156627,0.3193717277,0.09523809524,0.1111111111,0.2,0.2360515021,0.07142857143,0.361390668,e-mail,evo
0.1772805508,0.2356020942,0.04761904762,0.07692307692,0.2,0.1974248927,0.07142857143,0.335773102,e-mail,evo
0.4232026144,0.3636363636,0.3513513514,0.2891566265,0.6818181818,0.4573991031,0.5774647887,0.573529412,fileupload,evo
0.5196078431,0.5625,0.3513513514,0.313253012,0.6818181818,0.5515695067,0.5915492958,0.673010381,fileupload,evo
0.4607843137,0.5227272727,0.2702702703,0.156626506,0.7272727273,0.5426008969,0.4225352113,0.706747405,fileupload,evo
0.5702614379,0.625,0.3243243243,0.3373493976,0.7727272727,0.6188340807,0.6197183099,0.730968858,fileupload,evo
0.5326797386,0.5795454545,0.3513513514,0.2891566265,0.7272727273,0.5964125561,0.5352112676,0.700692042,fileupload,evo
0.5212418301,0.5852272727,0.3243243243,0.2891566265,0.7272727273,0.5964125561,0.4366197183,0.721453287,fileupload,evo
0.4133986928,0.4772727273,0.2702702703,0.2530120482,0.7272727273,0.4394618834,0.338028169,0.641868512,fileupload,evo
0.5473856209,0.5852272727,0.3783783784,0.3253012048,0.7727272727,0.6053811659,0.5492957746,0.729238754,fileupload,evo
0.4738562092,0.5511363636,0.2432432432,0.2048192771,0.5909090909,0.5605381166,0.4084507042,0.702422145,fileupload,evo
0.4444444444,0.4772727273,0.3243243243,0.313253012,0.5,0.466367713,0.4929577465,0.634948097,fileupload,evo
0.575772682,0.6524725275,0.5341880342,0.212962963,0.3235294118,0.5779141104,0.5747126437,0.68175853,validator,evo
0.5897308076,0.6634615385,0.5769230769,0.1759259259,0.4117647059,0.5865030675,0.6206896552,0.67191601,validator,evo
0.4132602193,0.4793956044,0.3333333333,0.1018518519,0.2941176471,0.4110429448,0.5287356322,0.534776903,validator,evo
0.5074775673,0.5576923077,0.4401709402,0.1851851852,0.4117647059,0.5226993865,0.5632183908,0.620734908,validator,evo
0.5044865404,0.5480769231,0.4829059829,0.1481481481,0.3235294118,0.5153374233,0.6091954023,0.606299213,validator,evo
0.5633100698,0.635989011,0.5085470085,0.1388888889,0.3235294118,0.5766871166,0.5977011494,0.663057743,validator,evo
0.575772682,0.6524725275,0.5341880342,0.212962963,0.3235294118,0.5779141104,0.5747126437,0.68175853,validator,evo
0.518444666,0.592032967,0.5128205128,0.1666666667,0.3235294118,0.5042944785,0.5632183908,0.619094488,validator,evo
0.5732801595,0.6662087912,0.5085470085,0.1944444444,0.3529411765,0.5705521472,0.5517241379,0.687007874,validator,evo
0.5667996012,0.6456043956,0.5170940171,0.1574074074,0.3235294118,0.5705521472,0.6091954023,0.658136483,validator,evo
