"MutationCoverage","ReturnValsMutator","ConditionalsBoundaryMutator","VoidMethodCallMutator","IncrementsMutator","NegateConditionalsMutator","MathMutator","LineCoverage","Project","Tool","TestSuite","InvertNegsMutator"
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2856967314,0.4381828637,0.3580705009,0.2150458716,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2856967314,0.4381828637,0.3580705009,0.2150458716,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2855738511,0.4381828637,0.3580705009,0.2146788991,0.252688172,0.2489134729,0.2559808612,0.490378364,"bcel","evo",3,
0.2941754731,0.4548591144,0.3525046382,0.2223853211,0.252688172,0.2568154879,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2227522936,0.252688172,0.2564203872,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2227522936,0.252688172,0.2564203872,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2227522936,0.252688172,0.2564203872,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2223853211,0.252688172,0.2568154879,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2227522936,0.252688172,0.2564203872,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2223853211,0.252688172,0.2568154879,0.2631578947,0.480171629,"bcel","evo",4,
0.2941754731,0.4548591144,0.3525046382,0.2223853211,0.252688172,0.2568154879,0.2631578947,0.480171629,"bcel","evo",4,
0.2942983534,0.4548591144,0.3525046382,0.2227522936,0.252688172,0.2568154879,0.2631578947,0.480171629,"bcel","evo",4,
0.2940525928,0.4548591144,0.3525046382,0.2223853211,0.252688172,0.2564203872,0.2631578947,0.480171629,"bcel","evo",4,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
0.303760137625952,0.454284071305348,0.36178107606679,0.215412844036697,0.28494623655914,0.293164757013038,0.251196172248804,0.498634768,"bcel","evo",5,
